name,season,stage,vote,search,age
Jeon So-mi,1,4,85.83,6.99526,15
Kim Se-jeong,1,4,52.54,5.89883,20
Choi Yoo-jung,1,4,43.88,1.65724,16
Kim Chung-ha,1,4,40.36,0.14694,20
Kim So-hye,1,4,22.97,1.56344,17
Zhou Jieqiong,1,4,21.83,0.68639,17
Jung Chae-yeon,1,4,21.53,0.34423,18
Kim Do-yeon,1,4,20.01,0.10405,16
Kang Mi-na,1,4,17.38,0.18644,16
Im Na-young,1,4,13.87,0.244,20
Yoo Yeon-jung,1,4,13.68,1.35739,17
Han Hye-Ri,1,4,13.41,5.54053,19
Lee Su-Hyun,1,4,13.39,2.75208,20
Kim Na-Young,1,4,13.32,12.62222,20
Kim So-Hee,1,4,12.85,5.69432,21
Yoon Chae-Kyung,1,4,12.85,3.28292,20
Lee Hae-In,1,4,11.66,4.10914,22
Park So-Yeon,1,4,10,2.97882,16
Ki Hui-Hyeon,1,4,9.88,3.31149,21
Jeon So-Yeon,1,4,7.81,1.63327,18
Jung Eun-Woo,1,4,4.25,4.42903,18
Kang Si-Ra,1,4,4.08,1.54894,25
Kang Daniel,2,4,157.88,1.84465,20
Park Ji-hoon,2,4,113.6,3.45576,17
Lee Dae-hwi,2,4,110.2,2.03782,16
Kim Jae-hwan,2,4,105.17,0.19964,20
Ong Seong-wu,2,4,98.48,1.44369,21
Park Woo-jin,2,4,93.74,0.19531,18
Lai Kuan-lin,2,4,90.59,0.55706,15
Yoon Ji-sung,2,4,90.21,0.95603,26
Hwang Min-hyun,2,4,86.27,0.34289,21
Bae Jin-young,2,4,80.77,0.45882,16
Ha Sung-woon,2,4,79.03,0.28141,23
Jung Se-woon,2,4,76.99,1.74591,20
Kang Dong-ho,2,4,75.54,8.56352,22
Kim Jong-hyun,2,4,70.41,1.56356,22
Im Young-min,2,4,65.48,5.22033,21
Ahn Hyung-seob,2,4,60.91,0.82799,18
Yoo Seon-ho,2,4,55.17,1.10441,15
Kim Samuel,2,4,39.15,2.87949,15
Ju Hak-nyeon,2,4,34.9,1.3901,18
Choi Min-ki ,2,4,22.71,0.58469,22
Jang Won-young,3,4,33.84,2.9228,13
Sakura Miyawaki,3,4,31.61,4.79838,20
Jo Yu-ri,3,4,29.47,0.58018,16
Choi Ye-na,3,4,28.54,0.17685,18
Ahn Yu-jin,3,4,28.05,1.41943,14
Nako Yabuki,3,4,26.18,5.07937,16
Kwon Eun-bi,3,4,25.02,0.76395,22
Kang Hye-won,3,4,24.84,0.10473,18
Hitomi Honda,3,4,24.04,0.1792,16
Kim Chae-won,3,4,23.82,0.03039,17
Kim Min-joo,3,4,22.71,0.09576,17
"Lee Chae-yeon	",3,4,22.13,0.41139,18
Han Cho-won,3,4,21.33,4.39201,15
Lee Ga-eun,3,4,20.93,8.6731,23
Miho Miyazaki,3,4,18.48,21.93274,24
Juri Takahashi,3,4,16.43,3.92853,20
Miyu Takeuchi,3,4,15.81,12.04978,22
Miu Shitao,3,4,12.91,6.63114,17
Park Hae-yoon,3,4,9.66,3.31566,21
Miru Shiroma,3,4,9.44,5.4241,20
Jeon So-mi,1,3,38.08,32.62568,15
Kim Se-jeong,1,3,13.16,43.7505,20
Choi Yoo-jung,1,3,12.8,48.97586,16
Kim Chung-ha,1,3,8.93,11.13729,20
Kim So-hye,1,3,9.42,23.49683,17
Zhou Jieqiong,1,3,1.93,11.1294,17
Jung Chae-yeon,1,3,4.38,24.93116,18
Kim Do-yeon,1,3,4.49,11.38998,16
Kang Mi-na,1,3,2.16,10.50009,16
Im Na-young,1,3,4.81,4.83003,20
Yoo Yeon-jung,1,3,4.6,6.81696,17
Han Hye-Ri,1,3,4.94,4.92711,19
Lee Su-Hyun,1,3,1.46,2.03197,20
Kim Na-Young,1,3,2.82,18.52644,20
Kim So-Hee,1,3,5.45,6.54977,21
Yoon Chae-Kyung,1,3,5.33,2.64296,20
Lee Hae-In,1,3,3.11,5.9968,22
Park So-Yeon,1,3,2.36,2.66968,16
Ki Hui-Hyeon,1,3,3.51,5.39191,21
Jeon So-Yeon,1,3,1.9,3.53743,18
Jung Eun-Woo,1,3,1.5,5.78863,18
Kang Si-Ra,1,3,2.65,1.62659,25
Ng Sze-Kai,1,3,1.41,2.78877,22
Kim Danielle,1,3,1.25,5.34598,16
Park Si-Yeon,1,3,1.1,4.54566,15
Huh Chan-Mi,1,3,0.85,18.70521,24
Hwang In-Sun,1,3,0.81,7.16648,29
"Seong Hye-Min	",1,3,0.72,2.14953,27
Kang Yae-Bin,1,3,0.69,3.5382,18
Kim Seo-Kyung,1,3,0.69,1.2048,17
Lee Soo-Min,1,3,0.67,16.72006,17
An Ye-Seul,1,3,0.6,2.9309,21
Kim Hyeong-Eun,1,3,0.45,2.61039,22
Kim Ju-Na,1,3,0.34,5.23426,22
Kwon Eun-Bin,1,3,0.23,10.48304,16
Kang Daniel,2,3,82.81,20.26534,20
Park Ji-hoon,2,3,63.02,3.80085,17
Lee Dae-hwi,2,3,32.6,1.77226,16
Kim Jae-hwan,2,3,25.98,1.25384,20
Ong Seong-wu,2,3,35.87,2.15209,21
Park Woo-jin,2,3,37.25,2.1665,18
Lai Kuan-lin,2,3,18.89,3.44278,15
Yoon Ji-sung,2,3,33.4,0.62423,26
Hwang Min-hyun,2,3,31.57,2.32234,21
Bae Jin-young,2,3,39,0.97357,16
Ha Sung-woon,2,3,41.37,2.51317,23
Jung Se-woon,2,3,19.62,0.91309,20
Kang Dong-ho,2,3,31.48,3.337,22
Kim Jong-hyun,2,3,36.71,6.35019,22
Im Young-min,2,3,19.77,5.41971,21
Ahn Hyung-seob,2,3,25.5,0.58452,18
Yoo Seon-ho,2,3,20.92,0.453,15
Kim Samuel,2,3,37.85,2.12669,15
Ju Hak-nyeon,2,3,19.72,1.3596,18
Choi Min-ki ,2,3,21.77,0.5923,22
Kim Yong-guk,2,3,18.43,0.66518,21
Kwon Hyun-bin,2,3,16.07,1.16369,20
Lee Eui-woong,2,3,15.66,0.50653,16
Kenta Takada,2,3,14.62,0.33297,22
Noh Tae-hyun,2,3,14.35,0.64607,24
Kim Sang-gyun,2,3,14.09,0.94112,22
Jang Moon-bok,2,3,13.03,17.52128,22
Kim Dong-hyun,2,3,12.52,0.46173,19
Kim Dong-han,2,3,12.06,0.40755,19
Kim Tae-dong,2,3,11.01,0.29121,20
Seo Sung-hyuk,2,3,5.44,0.2544,18
Kim Ye-hyun,2,3,5.33,0.17663,18
Lee Gun-hee,2,3,5.01,0.569,19
Lee Woo-jin,2,3,4.78,0.38007,14
Park Woo-dam,2,3,3.2,0.24081,22
